Dòng (Excel),Lỗi,Dữ liệu
8101,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8102,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8103,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8104,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8105,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8106,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8107,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8108,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8109,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8110,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8111,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8112,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8113,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8114,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8115,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8116,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8117,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8118,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8119,Trống tên Lô,"Ngày=31/01/2026, Lô=, CV/VT="
8120,Trống tên Lô,"Ngày=31/01/2026, Lô=, CV/VT="
8121,Trống tên Lô,"Ngày=31/01/2026, Lô=, CV/VT="
8122,Trống tên Lô,"Ngày=31/01/2026, Lô=, CV/VT="
8123,Trống tên Lô,"Ngày=31/01/2026, Lô=, CV/VT="
8124,Trống tên Lô,"Ngày=31/01/2026, Lô=, CV/VT="
8125,Trống tên Lô,"Ngày=31/01/2026, Lô=, CV/VT="
8126,Trống tên Lô,"Ngày=31/01/2026, Lô=, CV/VT="
8127,Trống tên Lô,"Ngày=31/01/2026, Lô=, CV/VT="
8128,Trống tên Lô,"Ngày=31/01/2026, Lô=, CV/VT="
8129,Trống tên Lô,"Ngày=31/01/2026, Lô=, CV/VT="
8130,Trống tên Lô,"Ngày=31/01/2026, Lô=, CV/VT="
8131,Trống tên Lô,"Ngày=31/01/2026, Lô=, CV/VT="
8132,Trống tên Lô,"Ngày=31/01/2026, Lô=, CV/VT="
8133,Trống tên Lô,"Ngày=01/02/2026, Lô=, CV/VT="
8134,Trống tên Lô,"Ngày=01/02/2026, Lô=, CV/VT="
8135,Trống tên Lô,"Ngày=01/02/2026, Lô=, CV/VT="
8136,Trống tên Lô,"Ngày=01/02/2026, Lô=, CV/VT="
8137,Trống tên Lô,"Ngày=01/02/2026, Lô=, CV/VT="
8138,Trống tên Lô,"Ngày=01/02/2026, Lô=, CV/VT="
8139,Trống tên Lô,"Ngày=01/02/2026, Lô=, CV/VT="
8140,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8141,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8142,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8143,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8144,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8145,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8146,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8147,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8148,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8149,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8150,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8151,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8152,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8153,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8154,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8155,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8156,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8157,Trống tên Lô,"Ngày=02/02/2026, Lô=, CV/VT="
8158,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8159,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8160,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8161,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8162,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8163,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8164,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8165,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8166,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8167,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8168,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8169,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8170,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8171,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8172,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8173,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8174,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8175,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8176,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8177,Trống tên Lô,"Ngày=03/02/2026, Lô=, CV/VT="
8178,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8179,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8180,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8181,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8182,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8183,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8184,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8185,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8186,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8187,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8188,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8189,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8190,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8191,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8192,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8193,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8194,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8195,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8196,Trống tên Lô,"Ngày=04/02/2026, Lô=, CV/VT="
8197,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8198,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8199,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8200,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8201,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8202,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8203,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8204,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8205,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8206,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8207,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8208,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8209,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8210,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8211,Trống tên Lô,"Ngày=05/02/2026, Lô=, CV/VT="
8212,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8213,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8214,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8215,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8216,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8217,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8218,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8219,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8220,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8221,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8222,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8223,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8224,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8225,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8226,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8227,Trống tên Lô,"Ngày=06/02/2026, Lô=, CV/VT="
8228,Trống tên Lô,"Ngày=07/02/2026, Lô=, CV/VT="
8229,Trống tên Lô,"Ngày=07/02/2026, Lô=, CV/VT="
8230,Trống tên Lô,"Ngày=07/02/2026, Lô=, CV/VT="
8231,Trống tên Lô,"Ngày=07/02/2026, Lô=, CV/VT="
8232,Trống tên Lô,"Ngày=07/02/2026, Lô=, CV/VT="
8233,Trống tên Lô,"Ngày=07/02/2026, Lô=, CV/VT="
8234,Trống tên Lô,"Ngày=07/02/2026, Lô=, CV/VT="
8235,Trống tên Lô,"Ngày=07/02/2026, Lô=, CV/VT="
8236,Trống tên Lô,"Ngày=07/02/2026, Lô=, CV/VT="
8237,Trống tên Lô,"Ngày=07/02/2026, Lô=, CV/VT="
8238,Trống tên Lô,"Ngày=07/02/2026, Lô=, CV/VT="
8239,Trống tên Lô,"Ngày=07/02/2026, Lô=, CV/VT="
8240,Trống tên Lô,"Ngày=07/02/2026, Lô=, CV/VT="
8241,Trống tên Lô,"Ngày=07/02/2026, Lô=, CV/VT="
8242,Trống tên Lô,"Ngày=08/02/2026, Lô=, CV/VT="
8243,Trống tên Lô,"Ngày=08/02/2026, Lô=, CV/VT="
8244,Trống tên Lô,"Ngày=08/02/2026, Lô=, CV/VT="
8245,Trống tên Lô,"Ngày=08/02/2026, Lô=, CV/VT="
8246,Trống tên Lô,"Ngày=08/02/2026, Lô=, CV/VT="
8247,Trống tên Lô,"Ngày=08/02/2026, Lô=, CV/VT="
8248,Trống tên Lô,"Ngày=08/02/2026, Lô=, CV/VT="
8249,Trống tên Lô,"Ngày=08/02/2026, Lô=, CV/VT="
8250,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8251,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8252,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8253,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8254,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8255,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8256,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8257,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8258,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8259,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8260,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8261,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8262,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8263,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8264,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8265,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8266,Trống tên Lô,"Ngày=09/02/2026, Lô=, CV/VT="
8267,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8268,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8269,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8270,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8271,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8272,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8273,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8274,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8275,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8276,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8277,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8278,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8279,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8280,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8281,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8282,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8283,Trống tên Lô,"Ngày=10/02/2026, Lô=, CV/VT="
8284,Trống tên Lô,"Ngày=11/02/2026, Lô=, CV/VT="
8285,Trống tên Lô,"Ngày=11/02/2026, Lô=, CV/VT="
8286,Trống tên Lô,"Ngày=11/02/2026, Lô=, CV/VT="
8287,Trống tên Lô,"Ngày=11/02/2026, Lô=, CV/VT="
8288,Trống tên Lô,"Ngày=11/02/2026, Lô=, CV/VT="
8289,Trống tên Lô,"Ngày=11/02/2026, Lô=, CV/VT="
8290,Trống tên Lô,"Ngày=11/02/2026, Lô=, CV/VT="
8291,Trống tên Lô,"Ngày=11/02/2026, Lô=, CV/VT="
8292,Trống tên Lô,"Ngày=11/02/2026, Lô=, CV/VT="
8293,Trống tên Lô,"Ngày=11/02/2026, Lô=, CV/VT="
8294,Trống tên Lô,"Ngày=11/02/2026, Lô=, CV/VT="
8295,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8296,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8297,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8298,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8299,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8300,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8301,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8302,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8303,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8304,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8305,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8306,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8307,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8308,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8309,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8310,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8311,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8312,Trống tên Lô,"Ngày=12/02/2026, Lô=, CV/VT="
8313,Trống tên Lô,"Ngày=13/02/2026, Lô=, CV/VT="
8314,Trống tên Lô,"Ngày=13/02/2026, Lô=, CV/VT="
8315,Trống tên Lô,"Ngày=13/02/2026, Lô=, CV/VT="
8316,Trống tên Lô,"Ngày=13/02/2026, Lô=, CV/VT="
8317,Trống tên Lô,"Ngày=13/02/2026, Lô=, CV/VT="
8318,Trống tên Lô,"Ngày=13/02/2026, Lô=, CV/VT="
8319,Trống tên Lô,"Ngày=13/02/2026, Lô=, CV/VT="
8320,Trống tên Lô,"Ngày=13/02/2026, Lô=, CV/VT="
8321,Trống tên Lô,"Ngày=13/02/2026, Lô=, CV/VT="
8322,Trống tên Lô,"Ngày=13/02/2026, Lô=, CV/VT="
8323,Trống tên Lô,"Ngày=13/02/2026, Lô=, CV/VT="
8324,Trống tên Lô,"Ngày=13/02/2026, Lô=, CV/VT="
8325,Trống tên Lô,"Ngày=13/02/2026, Lô=, CV/VT="
8326,Trống tên Lô,"Ngày=13/02/2026, Lô=, CV/VT="
8327,Trống tên Lô,"Ngày=14/02/2026, Lô=, CV/VT="
8328,Trống tên Lô,"Ngày=14/02/2026, Lô=, CV/VT="
8329,Trống tên Lô,"Ngày=14/02/2026, Lô=, CV/VT="
8330,Trống tên Lô,"Ngày=14/02/2026, Lô=, CV/VT="
8331,Trống tên Lô,"Ngày=14/02/2026, Lô=, CV/VT="
8332,Trống tên Lô,"Ngày=14/02/2026, Lô=, CV/VT="
8333,Trống tên Lô,"Ngày=21/02/2026, Lô=, CV/VT="
8334,Trống tên Lô,"Ngày=21/02/2026, Lô=, CV/VT="
8335,Trống tên Lô,"Ngày=22/02/2026, Lô=, CV/VT="
8336,Trống tên Lô,"Ngày=22/02/2026, Lô=, CV/VT="
8337,Trống tên Lô,"Ngày=22/02/2026, Lô=, CV/VT="
8338,Trống tên Lô,"Ngày=22/02/2026, Lô=, CV/VT="
8339,Trống tên Lô,"Ngày=22/02/2026, Lô=, CV/VT="
8340,Trống tên Lô,"Ngày=22/02/2026, Lô=, CV/VT="
8341,Trống tên Lô,"Ngày=22/02/2026, Lô=, CV/VT="
8342,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8343,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8344,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8345,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8346,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8347,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8348,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8349,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8350,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8351,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8352,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8353,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8354,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8355,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8356,Trống tên Lô,"Ngày=23/02/2026, Lô=, CV/VT="
8357,Trống tên Lô,"Ngày=24/02/2026, Lô=, CV/VT="
8358,Trống tên Lô,"Ngày=24/02/2026, Lô=, CV/VT="
8359,Trống tên Lô,"Ngày=24/02/2026, Lô=, CV/VT="
8360,Trống tên Lô,"Ngày=24/02/2026, Lô=, CV/VT="
8361,Trống tên Lô,"Ngày=24/02/2026, Lô=, CV/VT="
8362,Trống tên Lô,"Ngày=24/02/2026, Lô=, CV/VT="
